id_product;active;product_name;manufacturer;attribute_name;wholesale_price;price;quantity;
"1";"1";"Ponds Oil Control Talc";"Pond's";"350 gm";"130.500000";"145.000000";"50";
"2";"1";"Ponds DreamFlower Fragrant Talc";"Pond's";"100 gm";"49.500000";"55.000000";"50";
"2";"1";"Ponds DreamFlower Fragrant Talc";"Pond's";"400 gm";"130.500000";"145.000000";"50";
"2";"1";"Ponds DreamFlower Fragrant Talc";"Pond's";"50 gm";"27.000000";"30.000000";"50";
"3";"1";"Ponds Sandal Talc";"Pond's";"100 gm";"54.000000";"60.000000";"50";
"3";"1";"Ponds Sandal Talc";"Pond's";"300 gm";"130.500000";"145.000000";"50";
"4";"0";"White Tone Face Powder";"Pond's";"";"";"";"";
"5";"1";"Ponds Magic Radiance Powder";"Pond's";"50 gm";"31.500000";"35.000000";"50";
"5";"1";"Ponds Magic Radiance Powder";"Pond's";"100 gm";"58.500000";"65.000000";"50";
"5";"1";"Ponds Magic Radiance Powder";"Pond's";"400 gm";"153.000000";"170.000000";"50";
"6";"1";"Yardley Gold Deodorizing Talc - Tin Package";"Yardley";"250 gm";"99.000000";"110.000000";"50";
"6";"1";"Yardley Gold Deodorizing Talc - Tin Package";"Yardley";"100 gm";"49.500000";"55.000000";"50";
"7";"1";"Yardley Gentleman Talcum Powder -Tin Package";"Yardley";"100 gm";"76.500000";"85.000000";"50";
"7";"1";"Yardley Gentleman Talcum Powder -Tin Package";"Yardley";"250 gm";"130.500000";"145.000000";"50";
"8";"0";"Yardley English Lavendar Powder";"Yardley";"";"";"";"";
"9";"1";"Yardley Jasmine Powder";"Yardley";"250 gm";"81.000000";"90.000000";"50";
"10";"1";"Yardley Red Roses Powder";"Yardley";"250 gm";"81.000000";"90.000000";"50";
"11";"1";"Yardley Sandalwood Powder";"Yardley";"250 gm";"81.000000";"90.000000";"50";
"12";"1";"Z Magnetism Talc - Tin Package";"Z";"50 gm";"34.200000";"38.000000";"50";
"12";"1";"Z Magnetism Talc - Tin Package";"Z";"100 gm";"54.000000";"60.000000";"50";
"12";"1";"Z Magnetism Talc - Tin Package";"Z";"200 gm";"75.600000";"84.000000";"50";
"13";"1";"Z Magnetism Icon Talc - Tin Package";"Z";"50 gm";"34.200000";"38.000000";"50";
"13";"1";"Z Magnetism Icon Talc - Tin Package";"Z";"100 gm";"58.500000";"65.000000";"50";
"13";"1";"Z Magnetism Icon Talc - Tin Package";"Z";"200 gm";"81.000000";"90.000000";"50";
"14";"1";"Nycil Prickly Heat Powder - Classic";"Nycil";"150 gm";"57.600000";"64.000000";"50";
"15";"1";"Nycil Prickly Heat Powder - Sandal";"Nycil";"150 gm";"57.600000";"64.000000";"50";
"16";"1";"Nycil Prickly Heat Powder - Cool Herbal";"Nycil";"150 gm";"63.000000";"70.000000";"50";
"17";"1";"Nycil Prickly Heat Powder - Cool Gulabjal";"Nycil";"150 gm";"57.600000";"64.000000";"50";
"18";"1";"Nycil Prickly Heat Powder - Lavender";"Nycil";"150 gm";"63.000000";"70.000000";"50";
"19";"1";"Cinthol Cool - Cooling  Deo Talc";"Cinthol";"300 gm";"89.100000";"99.000000";"50";
"19";"1";"Cinthol Cool - Cooling  Deo Talc";"Cinthol";"100 gm";"40.500000";"45.000000";"50";
"20";"0";"Cinthol Deo - Intense Deo Talc";"Cinthol";"";"";"";"";
"21";"0";"Cinthol Confidence Plus - Germ Protection Deo talc";"Cinthol";"";"";"";"";
"22";"1";"Cinthol Lime - Refreshing deo talc";"Cinthol";"300 gm";"89.100000";"99.000000";"50";
"23";"1";"Cinthol Original - Complexion talc";"Cinthol";"100 gm";"40.500000";"45.000000";"50";
"23";"1";"Cinthol Original - Complexion talc";"Cinthol";"300 gm";"89.100000";"99.000000";"50";
"24";"1";"Wild Stone Ultra Sensual Deo Talc";"Wild Stone";"100 gm";"49.500000";"55.000000";"50";
"24";"1";"Wild Stone Ultra Sensual Deo Talc";"Wild Stone";"300 gm";"112.500000";"125.000000";"50";
"24";"1";"Wild Stone Ultra Sensual Deo Talc";"Wild Stone";"50 gm";"27.000000";"30.000000";"50";
