id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;category;default_on;
"1";"Ponds Oil Control Talc";"Quantity";"350 gm";"AAAAAAAA11";"130.500000";"145.000000";"50";"Talc";"1";
"2";"Ponds DreamFlower Fragrant Talc";"Quantity";"100 gm";"AAAAAAAA22";"49.500000";"55.000000";"50";"Talc";"1";
"2";"Ponds DreamFlower Fragrant Talc";"Quantity";"50 gm";"AAAAAAAA24";"27.000000";"30.000000";"50";"Talc";"0";
"2";"Ponds DreamFlower Fragrant Talc";"Quantity";"400 gm";"AAAAAAAA23";"130.500000";"145.000000";"50";"Talc";"0";
"3";"Ponds Sandal Talc";"Quantity";"300 gm";"AAAAAAAA36";"130.500000";"145.000000";"50";"Talc";"0";
"3";"Ponds Sandal Talc";"Quantity";"100 gm";"AAAAAAAA35";"54.000000";"60.000000";"50";"Talc";"1";
"4";"White Tone Face Powder";"";"";"";"";"";"";"Talc";"";
"5";"Ponds Magic Radiance Powder";"Quantity";"50 gm";"AAAAAAAA57";"31.500000";"35.000000";"50";"Talc";"0";
"5";"Ponds Magic Radiance Powder";"Quantity";"400 gm";"AAAAAAAA59";"153.000000";"170.000000";"50";"Talc";"0";
"5";"Ponds Magic Radiance Powder";"Quantity";"100 gm";"AAAAAAAA58";"58.500000";"65.000000";"50";"Talc";"1";
"6";"Yardley Gold Deodorizing Talc - Tin Package";"Quantity";"100 gm";"AAAAAAA611";"49.500000";"55.000000";"50";"Talc";"1";
"6";"Yardley Gold Deodorizing Talc - Tin Package";"Quantity";"250 gm";"AAAAAAA610";"99.000000";"110.000000";"50";"Talc";"0";
"7";"Yardley Gentleman Talcum Powder -Tin Package";"Quantity";"100 gm";"AAAAAAA712";"76.500000";"85.000000";"50";"Talc";"1";
"7";"Yardley Gentleman Talcum Powder -Tin Package";"Quantity";"250 gm";"AAAAAAA713";"130.500000";"145.000000";"50";"Talc";"0";
"8";"Yardley English Lavendar Powder";"";"";"";"";"";"";"Talc";"";
"9";"Yardley Jasmine Powder";"Quantity";"250 gm";"AAAAAAA914";"81.000000";"90.000000";"50";"Talc";"1";
"10";"Yardley Red Roses Powder";"Quantity";"250 gm";"AAAAAA1015";"81.000000";"90.000000";"50";"Talc";"1";
"11";"Yardley Sandalwood Powder";"Quantity";"250 gm";"AAAAAA1116";"81.000000";"90.000000";"50";"Talc";"1";
"12";"Z Magnetism Talc - Tin Package";"Quantity";"100 gm";"AAAAAA1218";"54.000000";"60.000000";"50";"Talc";"1";
"12";"Z Magnetism Talc - Tin Package";"Quantity";"50 gm";"AAAAAA1217";"34.200000";"38.000000";"50";"Talc";"0";
"12";"Z Magnetism Talc - Tin Package";"Quantity";"200 gm";"AAAAAA1219";"75.600000";"84.000000";"50";"Talc";"0";
"13";"Z Magnetism Icon Talc - Tin Package";"Quantity";"50 gm";"AAAAAA1320";"34.200000";"38.000000";"50";"Talc";"0";
"13";"Z Magnetism Icon Talc - Tin Package";"Quantity";"200 gm";"AAAAAA1322";"81.000000";"90.000000";"50";"Talc";"0";
"13";"Z Magnetism Icon Talc - Tin Package";"Quantity";"100 gm";"AAAAAA1321";"58.500000";"65.000000";"50";"Talc";"1";
"14";"Nycil Prickly Heat Powder - Classic";"Quantity";"150 gm";"AAAA142339";"57.600000";"64.000000";"50";"Talc";"1";
"15";"Nycil Prickly Heat Powder - Sandal";"Quantity";"150 gm";"AAAAAA1523";"57.600000";"64.000000";"50";"Talc";"1";
"16";"Nycil Prickly Heat Powder - Cool Herbal";"Quantity";"150 gm";"AAAAAA1624";"63.000000";"70.000000";"50";"Talc";"1";
"17";"Nycil Prickly Heat Powder - Cool Gulabjal";"Quantity";"150 gm";"AAAAAA1725";"57.600000";"64.000000";"50";"Talc";"1";
"18";"Nycil Prickly Heat Powder - Lavender";"Quantity";"150 gm";"AAAAAA1826";"63.000000";"70.000000";"50";"Talc";"1";
"19";"Cinthol Cool - Cooling  Deo Talc";"Quantity";"100 gm";"AAAAAA1928";"40.500000";"45.000000";"50";"Talc";"1";
"19";"Cinthol Cool - Cooling  Deo Talc";"Quantity";"300 gm";"AAAAAA1927";"89.100000";"99.000000";"50";"Talc";"0";
"20";"Cinthol Deo - Intense Deo Talc";"";"";"";"";"";"";"Talc";"";
"21";"Cinthol Confidence Plus - Germ Protection Deo talc";"";"";"";"";"";"";"Talc";"";
"22";"Cinthol Lime - Refreshing deo talc";"Quantity";"300 gm";"AAAAAA2229";"89.100000";"99.000000";"50";"Talc";"1";
"23";"Cinthol Original - Complexion talc";"Quantity";"300 gm";"AAAAAA2331";"89.100000";"99.000000";"50";"Talc";"0";
"23";"Cinthol Original - Complexion talc";"Quantity";"100 gm";"AAAAAA2330";"40.500000";"45.000000";"50";"Talc";"1";
"24";"Wild Stone Ultra Sensual Deo Talc";"Quantity";"300 gm";"AAAAAA2433";"112.500000";"125.000000";"50";"Talc";"0";
"24";"Wild Stone Ultra Sensual Deo Talc";"Quantity";"100 gm";"AAAAAA2432";"49.500000";"55.000000";"50";"Talc";"1";
"24";"Wild Stone Ultra Sensual Deo Talc";"Quantity";"50 gm";"AAAAAA2434";"27.000000";"30.000000";"50";"Talc";"0";
