2001,Quantity,5 kg,AA20011988,100,180,50,0
2001,Quantity,1 kg,AA20012088,20,36,50,1
2001,Quantity,0.5 kg,AA20012190,9,18,48,0
2002,Quantity,5 kg,AA20021989,108,115,50,0
2002,Quantity,1 kg,AA20022089,21.6,23,43,1
2002,Quantity,0.5 kg,AA20022191,10.8,11.5,50,0
2003,Quantity,3 kg,AA20031990,160,180,50,0
2003,Quantity,1 kg,AA20032090,50,60,43,0
2003,Quantity,0.5 kg,AA20032192,26,30,47,0
2004,Quantity,2 kg,AA20041991,102,112,50,0
2004,Quantity,0.5 kg,AA20042091,24,28,47,1
2004,Quantity,0.25 kg,AA20042193,10.8,14,50,0
2005,Quantity,3 kg,AA20051992,112,102,50,0
2005,Quantity,1 kg,AA20052092,35,34,48,0
2005,Quantity,0.5 kg,AA20052194,18,17,46,0
2006,Quantity,2 kg,AA20061993,86.4,96,50,0
2006,Quantity,0.5 kg,AA20062093,21.6,24,46,1
2006,Quantity,0.25 kg,AA20062195,10.8,12,50,0
2007,Quantity,5 kg,AA20071996,126,170,47,0
2007,Quantity,1 kg,AA20072096,25.2,34,25,1
2007,Quantity,0.5 kg,AA20072198,12.6,17,47,0
2008,Quantity,3 kg,AA20081994,100,108,50,0
2008,Quantity,1 kg,AA20082094,36,36,48,0
2008,Quantity,0.5 kg,AA20082196,17,18,45,1
2009,Quantity,2 kg,AA20091995,90,112,50,0
2009,Quantity,0.5 kg,AA20092095,22.5,28,46,1
2009,Quantity,0.25 kg,AA20092197,11.25,14,45,0
2010,Quantity,5 kg,AA20102004,245,280,50,0
2010,Quantity,0.5 kg,AA20102104,22,28,39,0
2010,Quantity,0.25 kg,AA20102206,11.25,14,50,1
2011,Quantity,3 kg,AA20111997,110,144,50,0
2011,Quantity,0.5 kg,AA20112097,18,24,50,1
2011,Quantity,0.25 kg,AA20112199,8,12,50,0
2014,Quantity,1 kg,AA20142000,72,85,50,0
2014,Quantity,200 gm,AA20142100,14.4,17,49,0
2014,Quantity,100 gm,AA20142202,7.2,8.5,40,1
2018,Quantity,5 kg,AA20182005,295,300,50,0
2018,Quantity,1 kg,AA20182105,29,60,50,0
2018,Quantity,0.20 kg,AA20182207,13,15,48,1
2019,Quantity,3 kg,AA20192006,324,336,0,0
2019,Quantity,500 gm,AA20192106,54,56,0,0
2019,Quantity,250 gm,AA20192208,27,28,0,1
2022,Quantity,3 kg,AA20222009,194.4,240,50,0
2022,Quantity,0.5 kg,AA20222109,32.4,40,50,0
2022,Quantity,0.25 kg,AA20222211,16.2,20,50,1
2023,Quantity,3 kg,AA20232010,280.8,480,50,0
2023,Quantity,0.5 kg,AA20232110,46.8,80,47,0
2023,Quantity,0.25 kg,AA20232212,23.4,40,47,1
2026,Quantity,5 kg,AA20262013,324,360,0,0
2026,Quantity,1 kg,AA20262113,64.8,72,0,0
2026,Quantity,0.5 kg,AA20262215,32.4,36,0,1
2027,Quantity,5 kg,AA20272014,261,300,50,0
2027,Quantity,1 kg,AA20272114,52.2,60,47,0
2027,Quantity,0.5 kg,AA20272216,26.1,30,50,1
2032,Numbers,5 pc,AA20322019,22.5,30,50,1
2032,Numbers,2 pc,AA20322119,9,12,50,0
2032,Numbers,1 pc,AA20322221,4.5,6,50,0
2033,Numbers,5 pc,AA20332020,22.5,17.5,49,0
2033,Numbers,2 pc,AA20332120,9,7,48,0
2033,Numbers,1 pc,AA20332222,4.5,3.5,40,1
2036,Numbers,24 pc,AA20362023,0,88,50,0
2036,Numbers,12 pc,AA20362123,0,44,49,0
2036,Numbers,6 pc,AA20362225,0,22,46,1
2040,Numbers,5 pc,AA20402027,88,125,50,0
2040,Numbers,2 pc,AA20402127,34,50,50,0
2040,Numbers,1 pc,AA20402229,16,25,50,1
2043,Numbers,5 pc,AA20432030,207,300,50,0
2043,Numbers,2 pc,AA20432130,82.8,120,50,0
2043,Numbers,1 pc,AA20432232,41.4,60,49,1
2044,Numbers,5 pc,AA20442031,320,340,50,0
2044,Numbers,2 pc,AA20442131,125,136,50,0
2044,Numbers,1 pc,AA20442233,0,68,50,1
2045,Numbers,5 pc,AA20452032,171,200,50,0
2045,Numbers,2 pc,AA20452132,68.4,80,50,0
2045,Numbers,1 pc,AA20452234,34.2,40,48,1
2046,Quantity,5 kg,AA20462033,400,380,50,0
2046,Quantity,1 kg,AA20462133,0,76,49,0
2046,Quantity,0.5 kg,AA20462235,28.8,38,49,1
2048,Quantity,3 kg,AA20482035,500,510,50,0
2048,Quantity,1 kg,AA20482135,160,170,50,0
2048,Quantity,0.5 kg,AA20482237,80,85,50,1
2054,Quantity,0.5 kg,AA20542141,162,130,50,0
2054,Quantity,0.25 kg,AA20542243,81,65,50,1
2054,Quantity,2 kg,AA20542638,648,720,50,0
2061,Quantity,5 kg,AA20612048,0,650,50,0
2061,Quantity,1 kg,AA20612149,0,130,50,0
2061,Quantity,0.5 kg,AA20612251,0,65,49,1
2065,Numbers,5 bunch,AA20652051,63,110,50,0
2065,Numbers,2 bunch,AA20652152,26,44,49,0
2065,Numbers,1 bunch,AA20652254,11,22,38,1
2066,Numbers,5 bunch,AA20662052,40.5,50,50,0
2066,Numbers,2 bunch,AA20662153,16.2,20,50,0
2066,Numbers,1 bunch,AA20662255,8.1,10,47,1
2068,Numbers,5 bunch,AA20682054,63,75,50,0
2068,Numbers,2 bunch,AA20682155,25.2,30,48,0
2068,Numbers,1 bunch,AA20682257,12.6,15,41,1
2069,Numbers,5 bunch,AA20692055,67.5,110,50,0
2069,Numbers,2 bunch,AA20692156,27,44,49,0
2069,Numbers,1 bunch,AA20692258,13.5,22,41,1
2071,Numbers,5 bunch,AA20712057,0,80,50,0
2071,Numbers,2 bunch,AA20712158,0,32,50,0
2071,Numbers,1 bunch,AA20712260,0,16,49,1
2072,Numbers,5 bunch,AA20722058,72,100,50,0
2072,Numbers,2 bunch,AA20722159,28.8,40,50,0
2072,Numbers,1 bunch,AA20722261,14.4,20,46,1
2073,Numbers,5 bunch,AA20732059,63,85,50,0
2073,Numbers,2 bunch,AA20732160,25.2,34,50,0
2073,Numbers,1 bunch,AA20732262,12.6,17,50,1
2076,Quantity,1 kg,AA20762062,171,200,50,0
2076,Quantity,200 gm,AA20762163,34.2,40,50,0
2076,Quantity,100 gm,AA20762265,17.1,20,49,1
2077,Quantity,1 kg,AA20772063,216,272,50,0
2077,Quantity,500 gm,AA20772164,108,136,50,0
2077,Quantity,250 gm,AA20772266,54,68,50,1
2084,Numbers,5 pc,AA20842070,144,225,50,0
2084,Numbers,2 pc,AA20842171,57.6,90,50,0
2084,Numbers,1 pc,AA20842273,28.8,45,49,1
2085,Quantity,2 kg,AA20852071,230.4,360,50,0
2085,Quantity,500 gm,AA20852172,57.6,90,50,0
2085,Quantity,250 gm,AA20852274,34.2,45,50,1
2099,Quantity,2 kg,AA20992072,0,336,50,0
2099,Quantity,500 gm,AA20992173,0,84,50,0
2099,Quantity,250 gm,AA20992275,0,42,50,1
