id_product,attribute_name,attribute_value,Reference,wholesale_price,price,quantity,default_on
2001,Quantity,5 kg,AA20011988,100,130,50,0
2001,Quantity,1 kg,AA20012088,20,26,28,1
2001,Quantity,0.5 kg,AA20012190,9,13,46,0
2003,Quantity,3 kg,AA20031990,160,198,50,0
2003,Quantity,1 kg,AA20032090,50,66,40,0
2003,Quantity,0.5 kg,AA20032192,26,33,45,0
2004,Quantity,2 kg,AA20041991,102,120,50,0
2004,Quantity,0.5 kg,AA20042091,24,30,23,1
2004,Quantity,0.25 kg,AA20042193,10.8,15,49,0
2005,Quantity,3 kg,AA20051992,112,120,50,0
2005,Quantity,1 kg,AA20052092,35,40,42,0
2005,Quantity,0.5 kg,AA20052194,18,20,43,0
2006,Quantity,2 kg,AA20061993,86.4,76,49,0
2006,Quantity,0.5 kg,AA20062093,21.6,19,39,1
2006,Quantity,0.25 kg,AA20062195,10.8,9.5,50,0
2007,Quantity,5 kg,AA20071996,225,175,46,0
2007,Quantity,1 kg,AA20072096,45,35,43,1
2007,Quantity,0.5 kg,AA20072198,20,17.5,47,0
2008,Quantity,3 kg,AA20081994,100,120,50,0
2008,Quantity,1 kg,AA20082094,36,40,47,0
2008,Quantity,0.5 kg,AA20082196,17,20,42,1
2009,Quantity,2 kg,AA20091995,90,104,50,0
2009,Quantity,0.5 kg,AA20092095,22.5,26,40,1
2009,Quantity,0.25 kg,AA20092197,11.25,13,34,0
2010,Quantity,5 kg,AA20102004,245,260,50,0
2010,Quantity,0.5 kg,AA20102104,22,26,31,0
2010,Quantity,0.25 kg,AA20102206,11.25,13,40,1
2013,Quantity,5 kg,AA20131999,0,320,50,0
2013,Quantity,0.5 kg,AA20132099,0,32,43,0
2013,Quantity,0.25 kg,AA20132201,0,16,50,0
2016,Quantity,1 kg,AA20162002,90,140,50,0
2016,Quantity,200 gm,AA20162102,18,28,49,0
2016,Quantity,100 gm,AA20162204,9,14,38,1
2017,Quantity,3 kg,AA20172003,810,960,0,0
2017,Quantity,1 kg,AA20172103,270,320,0,0
2017,Quantity,0.5 kg,AA20172205,135,160,0,1
2020,Quantity,1 kg,AA20202007,60,80,50,0
2020,Quantity,500 gm,AA20202107,30,40,50,0
2020,Quantity,250 gm,AA20202209,16,20,47,1
2022,Quantity,3 kg,AA20222009,194.4,204,50,0
2022,Quantity,0.5 kg,AA20222109,32.4,34,50,0
2022,Quantity,0.25 kg,AA20222211,16.2,17,46,1
2023,Quantity,3 kg,AA20232010,280.8,276,50,0
2023,Quantity,0.5 kg,AA20232110,46.8,46,46,0
2023,Quantity,0.25 kg,AA20232212,23.4,23,47,1
2026,Quantity,5 kg,AA20262013,324,350,50,0
2026,Quantity,1 kg,AA20262113,64.8,70,49,0
2026,Quantity,0.5 kg,AA20262215,32.4,35,46,1
2031,Quantity,5 kg,AA20312018,324,360,50,0
2031,Quantity,1 kg,AA20312118,64.8,72,49,0
2031,Quantity,0.5 kg,AA20312220,32.4,36,48,1
2033,Numbers,5 pc,AA20332020,22.5,12.5,48,0
2033,Numbers,2 pc,AA20332120,9,5,47,0
2033,Numbers,1 pc,AA20332222,4.5,2.5,40,1
2034,Numbers,5 pc,AA20342021,27,30,50,0
2034,Numbers,2 pc,AA20342121,10.8,12,50,0
2034,Numbers,1 pc,AA20342223,5.4,6,50,1
2035,Quantity,5 kg,AA20352022,600,650,50,0
2035,Quantity,1 kg,AA20352122,135,130,44,0
2035,Quantity,500 gm,AA20352224,0,65,43,1
2037,Quantity,5 kg,AA20372024,550,850,50,0
2037,Quantity,1 kg,AA20372124,115,170,50,0
2037,Quantity,0.5 kg,AA20372226,55,85,50,1
2040,Numbers,5 pc,AA20402027,88,75,50,0
2040,Numbers,2 pc,AA20402127,34,30,50,0
2040,Numbers,1 pc,AA20402229,16,15,50,1
2048,Quantity,3 kg,AA20482035,500,372,50,0
2048,Quantity,1 kg,AA20482135,160,124,49,0
2048,Quantity,0.5 kg,AA20482237,80,62,49,1
2052,Quantity,2 kg,AA20522038,177,280,50,0
2052,Quantity,1 kg,AA20522139,88.2,140,50,0
2052,Quantity,0.50 kg,AA20522241,0,70,50,1
2056,Quantity,3 kg,AA20562042,0,540,50,0
2056,Quantity,1 kg,AA20562143,0,180,50,0
2056,Quantity,0.5 kg,AA20562245,0,90,49,1
2064,Quantity,3 kg,AA20642050,480,330,50,0
2064,Quantity,0.5 kg,AA20642151,80,110,49,0
2064,Quantity,0.25 kg,AA20642253,40,55,46,1
2065,Numbers,5 bunch,AA20652051,63,130,50,0
2065,Numbers,2 bunch,AA20652152,26,26,49,0
2065,Numbers,1 bunch,AA20652254,11,13,29,1
2068,Numbers,5 bunch,AA20682054,63,120,50,0
2068,Numbers,2 bunch,AA20682155,25.2,24,47,0
2068,Numbers,1 bunch,AA20682257,12.6,12,35,1
2072,Numbers,5 bunch,AA20722058,72,75,50,0
2072,Numbers,2 bunch,AA20722159,28.8,30,50,0
2072,Numbers,1 bunch,AA20722261,14.4,15,44,1
2075,Numbers,5 bunch,AA20752061,81,80,50,0
2075,Numbers,2 bunch,AA20752162,32.4,32,50,0
2075,Numbers,1 bunch,AA20752264,16.2,16,48,1
2078,Numbers,5 pc,AA20782064,103.5,95,50,0
2078,Numbers,2 pc,AA20782165,41.4,38,50,0
2078,Numbers,1 pc,AA20782267,20.7,19,47,1
2079,Numbers,5 pc,AA20792065,108,100,50,0
2079,Numbers,2 pc,AA20792166,43.2,40,50,0
2079,Numbers,1 pc,AA20792268,21.6,20,49,1
2124,Quantity,3 kg,AA21242086,890,960,50,0
2124,Quantity,1 kg,AA21242188,280,320,50,0
2124,Quantity,0.5 kg,AA21242290,133.2,160,50,1
2125,Quantity,3 kg,AA21252087,264.6,330,50,0
2125,Quantity,1 kg,AA21252189,88.2,110,49,0
2125,Quantity,0.5 kg,AA21252291,44.1,55,50,1
2077,Quantity,1 kg,AA20772063,400,440,0,0
2077,Quantity,500 gm,AA20772164,200,220,0,0
2077,Quantity,250 gm,AA20772266,100,110,0,1
2027,Quantity,5 kg,AA20272014,261,290,0,0
2027,Quantity,1 kg,AA20272114,52.2,58,0,0
2027,Quantity,0.5 kg,AA20272216,26.1,29,0,1
2055,Quantity,3 kg,AA20552041,0,504,0,0
2055,Quantity,0.5 kg,AA20552142,0,84,0,1
2055,Quantity,0.25 kg,AA20552244,0,42,0,0
