2001,Quantity,5 kg,AA20011988,100,100,50,0
2001,Quantity,1 kg,AA20012088,20,20,23,1
2001,Quantity,0.5 kg,AA20012190,9,10,44,0
2002,Quantity,5 kg,AA20021989,108,105,44,0
2002,Quantity,1 kg,AA20022089,21.6,21,15,1
2002,Quantity,0.5 kg,AA20022191,10.8,10.5,48,0
2006,Quantity,2 kg,AA20061993,86.4,96,49,0
2006,Quantity,0.5 kg,AA20062093,21.6,24,36,1
2006,Quantity,0.25 kg,AA20062195,10.8,12,50,0
2007,Quantity,5 kg,AA20071996,225,275,46,0
2007,Quantity,1 kg,AA20072096,45,55,38,1
2007,Quantity,0.5 kg,AA20072198,20,27.5,47,0
2008,Quantity,3 kg,AA20081994,100,132,50,0
2008,Quantity,1 kg,AA20082094,36,44,47,0
2008,Quantity,0.5 kg,AA20082196,17,22,42,1
2009,Quantity,2 kg,AA20091995,90,112,50,0
2009,Quantity,0.5 kg,AA20092095,22.5,28,39,1
2009,Quantity,0.25 kg,AA20092197,11.25,14,34,0
2010,Quantity,5 kg,AA20102004,245,260,50,0
2010,Quantity,0.5 kg,AA20102104,22,26,30,0
2010,Quantity,0.25 kg,AA20102206,11.25,13,36,1
2011,Quantity,3 kg,AA20111997,110,168,50,0
2011,Quantity,0.5 kg,AA20112097,18,28,46,1
2011,Quantity,0.25 kg,AA20112199,8,14,43,0
2012,Quantity,5 kg,AA20121998,180,200,50,0
2012,Quantity,0.5 kg,AA20122098,18,20,34,1
2012,Quantity,0.25 kg,AA20122200,9,10,49,0
2015,Quantity,1 kg,AA20152001,81,110,50,0
2015,Quantity,200 gm,AA20152101,16.2,22,50,0
2015,Quantity,100 gm,AA20152203,8.1,11,30,1
2016,Quantity,1 kg,AA20162002,90,140,50,0
2016,Quantity,200 gm,AA20162102,18,28,49,0
2016,Quantity,100 gm,AA20162204,9,14,35,1
2017,Quantity,3 kg,AA20172003,810,840,0,0
2017,Quantity,1 kg,AA20172103,270,280,0,0
2017,Quantity,0.5 kg,AA20172205,135,140,0,1
2018,Quantity,5 kg,AA20182005,295,625,50,0
2018,Quantity,1 kg,AA20182105,29,125,49,0
2018,Quantity,0.25 kg,AA20182207,13,25,40,1
2019,Quantity,3 kg,AA20192006,324,192,50,0
2019,Quantity,500 gm,AA20192106,54,32,50,0
2019,Quantity,250 gm,AA20192208,27,16,47,1
2020,Quantity,1 kg,AA20202007,60,80,50,0
2020,Quantity,500 gm,AA20202107,30,40,50,0
2020,Quantity,250 gm,AA20202209,16,20,47,1
2021,Quantity,3 kg,AA20212008,205.2,204,50,0
2021,Quantity,0.5 kg,AA20212108,34.2,34,44,0
2021,Quantity,0.25 kg,AA20212210,17.1,17,36,1
2022,Quantity,3 kg,AA20222009,194.4,192,50,0
2022,Quantity,0.5 kg,AA20222109,32.4,32,50,0
2022,Quantity,0.25 kg,AA20222211,16.2,16,45,1
2023,Quantity,3 kg,AA20232010,280.8,288,50,0
2023,Quantity,0.5 kg,AA20232110,46.8,48,45,0
2023,Quantity,0.25 kg,AA20232212,23.4,24,46,1
2026,Quantity,5 kg,AA20262013,324,370,50,0
2026,Quantity,1 kg,AA20262113,64.8,74,49,0
2026,Quantity,0.5 kg,AA20262215,32.4,37,46,1
2027,Quantity,5 kg,AA20272014,261,290,0,0
2027,Quantity,1 kg,AA20272114,52.2,58,0,0
2027,Quantity,0.5 kg,AA20272216,26.1,29,0,1
2031,Quantity,5 kg,AA20312018,324,340,50,0
2031,Quantity,1 kg,AA20312118,64.8,68,49,0
2031,Quantity,0.5 kg,AA20312220,32.4,34,46,1
2035,Quantity,5 kg,AA20352022,600,700,50,0
2035,Quantity,1 kg,AA20352122,135,140,43,0
2035,Quantity,500 gm,AA20352224,0,70,43,1
2037,Quantity,5 kg,AA20372024,550,900,50,0
2037,Quantity,1 kg,AA20372124,115,180,49,0
2037,Quantity,0.5 kg,AA20372226,55,90,50,1
2040,Numbers,5 pc,AA20402027,88,80,50,0
2040,Numbers,2 pc,AA20402127,34,32,50,0
2040,Numbers,1 pc,AA20402229,16,16,50,1
2044,Numbers,5 pc,AA20442031,320,310,50,0
2044,Numbers,2 pc,AA20442131,125,124,50,0
2044,Numbers,1 pc,AA20442233,0,62,50,1
2045,Numbers,5 pc,AA20452032,171,230,50,0
2045,Numbers,2 pc,AA20452132,68.4,92,50,0
2045,Numbers,1 pc,AA20452234,34.2,46,44,1
2048,Quantity,3 kg,AA20482035,500,360,50,0
2048,Quantity,1 kg,AA20482135,160,120,49,0
