2001,Quantity,5 kg,AA20011988,100,115,50,0
2001,Quantity,1 kg,AA20012088,20,23,23,1
2001,Quantity,0.5 kg,AA20012190,9,11.5,44,0
2007,Quantity,5 kg,AA20071996,225,240,46,0
2007,Quantity,1 kg,AA20072096,45,48,38,1
2007,Quantity,0.5 kg,AA20072198,20,24,47,0
2009,Quantity,2 kg,AA20091995,90,100,50,0
2009,Quantity,0.5 kg,AA20092095,22.5,25,39,1
2009,Quantity,0.25 kg,AA20092197,11.25,12.5,34,0
2012,Quantity,5 kg,AA20121998,180,160,50,0
2012,Quantity,0.5 kg,AA20122098,18,16,34,1
2012,Quantity,0.25 kg,AA20122200,9,8,49,0
2013,Quantity,5 kg,AA20131999,0,340,50,0
2013,Quantity,0.5 kg,AA20132099,0,34,43,0
2013,Quantity,0.25 kg,AA20132201,0,17,50,0
2017,Quantity,3 kg,AA20172003,810,780,0,0
2017,Quantity,1 kg,AA20172103,270,260,0,0
2017,Quantity,0.5 kg,AA20172205,135,130,0,1
2018,Quantity,5 kg,AA20182005,295,300,50,0
2018,Quantity,1 kg,AA20182105,29,60,49,0
2018,Quantity,0.25 kg,AA20182207,13,15,40,1
2019,Quantity,3 kg,AA20192006,324,180,50,0
2019,Quantity,500 gm,AA20192106,54,30,50,0
2019,Quantity,250 gm,AA20192208,27,15,47,1
2020,Quantity,1 kg,AA20202007,60,76,50,0
2020,Quantity,500 gm,AA20202107,30,38,50,0
2020,Quantity,250 gm,AA20202209,16,19,47,1
2023,Quantity,3 kg,AA20232010,280.8,276,50,0
2023,Quantity,0.5 kg,AA20232110,46.8,46,45,0
2023,Quantity,0.25 kg,AA20232212,23.4,23,46,1
2026,Quantity,5 kg,AA20262013,324,320,50,0
2026,Quantity,1 kg,AA20262113,64.8,64,49,0
2026,Quantity,0.5 kg,AA20262215,32.4,32,46,1
2032,Numbers,5 pc,AA20322019,22.5,30,50,1
2032,Numbers,2 pc,AA20322119,9,12,50,0
2032,Numbers,1 pc,AA20322221,4.5,6,50,0
2040,Numbers,5 pc,AA20402027,88,65,50,0
2040,Numbers,2 pc,AA20402127,34,26,50,0
2040,Numbers,1 pc,AA20402229,16,13,50,1
2043,Numbers,5 pc,AA20432030,207,320,0,0
2043,Numbers,2 pc,AA20432130,82.8,128,0,0
2043,Numbers,1 pc,AA20432232,41.4,64,0,1
2046,Quantity,5 kg,AA20462033,400,320,50,0
2046,Quantity,1 kg,AA20462133,0,64,49,0
2046,Quantity,0.5 kg,AA20462235,28.8,32,46,1
2048,Quantity,3 kg,AA20482035,500,390,50,0
2048,Quantity,1 kg,AA20482135,160,130,49,0
2048,Quantity,0.5 kg,AA20482237,80,65,49,1
2052,Quantity,2 kg,AA20522038,177,440,50,0
2052,Quantity,1 kg,AA20522139,88.2,220,50,0
2052,Quantity,0.50 kg,AA20522241,0,110,50,1
2057,Quantity,3 kg,AA20572043,183.6,240,0,0
2057,Quantity,1 kg,AA20572144,61.2,80,0,0
2057,Quantity,0.5 kg,AA20572246,30.6,40,0,1
2062,Numbers,2 dozen,AA20622148,124.2,130,50,0
2062,Numbers,1 dozen,AA20622250,0,65,47,1
2065,Numbers,5 bunch,AA20652051,63,70,50,0
2065,Numbers,2 bunch,AA20652152,26,28,49,0
2065,Numbers,1 bunch,AA20652254,11,14,28,1
2069,Numbers,5 bunch,AA20692055,67.5,75,50,0
2069,Numbers,2 bunch,AA20692156,27,30,49,0
2069,Numbers,1 bunch,AA20692258,13.5,15,20,1
2077,Quantity,1 kg,AA20772063,400,280,50,0
2077,Quantity,500 gm,AA20772164,200,140,50,0
2077,Quantity,250 gm,AA20772266,100,70,50,1
2078,Numbers,5 pc,AA20782064,103.5,95,50,0
2078,Numbers,2 pc,AA20782165,41.4,38,50,0
2078,Numbers,1 pc,AA20782267,20.7,19,47,1
2079,Numbers,5 pc,AA20792065,108,100,50,0
2079,Numbers,2 pc,AA20792166,43.2,40,50,0
2079,Numbers,1 pc,AA20792268,21.6,20,49,1
2082,Quantity,2 kg,AA20822068,550,560,50,0
2082,Quantity,500 gm,AA20822169,145,140,50,0
2082,Quantity,250 gm,AA20822271,70,70,50,1
2085,Quantity,2 kg,AA20852071,230.4,304,50,0
2085,Quantity,500 gm,AA20852172,57.6,76,50,0
2085,Quantity,250 gm,AA20852274,34.2,38,48,1
2086,Quantity,2 kg,AA20862073,0,240,50,0
2086,Quantity,500 gm,AA20862174,0,60,50,0
2086,Quantity,250 gm,AA20862276,0,30,50,1
2087,Quantity,3 kg,AA20872074,162,360,50,0
2087,Quantity,1 kg,AA20872175,54,120,50,0
2087,Quantity,500 gm,AA20872277,27,60,50,1
2088,Quantity,2 kg,AA20882075,0,250,50,0
2088,Quantity,400 gm,AA20882176,0,50,50,0
2088,Quantity,200 gm,AA20882278,0,25,50,1
